コード,商品名,販売終了日,標準単価,店舗単価,入数
04173900,配置用）台所用洗剤３００ｍｌ,,367,136,1
04174000,配置用）台所用洗剤詰替用２５０ｍｌ,,302,112,1
04174100,配置用）Ｓ．Ｏ．Ｓ,,324,117,1
04174200,配置用）台所用スポンジ抗菌タイプローズ,,194,72,1
04174300,配置用）台所用スポンジ３色セット抗菌Ｓ,,550,204,1
04174400,配置用）エコスポンジ・ミニピンク,,237,88,1
04174500,配置用）レンジまわりふきんピンク１枚入,,410,152,1
04174600,配置用）天然抗菌水切りネット（２０枚入,,486,180,1
05810000,配置用）ダスキンUVケアミルク,,1296,720,12
18870100,亀田製　サラダうす焼,,100,69,40
18870200,亀田製　えびうす焼,,100,69,40
18870300,亀田製　揚一番,,100,69,40
18870400,亀田製　ソフトサラダミニ,,100,69,40
18870500,亀田製　海苔巻バラエティー,,100,69,40
18870600,亀田製　切りもち揚,,100,69,40
18870700,亀田製　亀田の柿の種梅しそ,,100,69,40
18880000,【テ】小鉢デリ　穂先たけのことふきの土佐,,200,128,30
18880100,【テ】小鉢デリ　ゴロっと野菜の塩糀煮,,200,128,30
18880200,【テ】小鉢デリ　十目ひじき煮,,200,128,30
18880300,【テ】小鉢デリ　チキンと彩り豆のトマト煮,,200,138,30
18880400,【テ】小鉢デリ　とろとろ牛すじ煮込み,,200,138,30
18880600,東洋水　五目ピラフ,,150,104,20
18880700,東洋水　ふっくらとり釜めし,,150,104,20
18880900,【テ】アマノ　たっぷり野菜と鶏肉のカレー,,300,209,30
18881000,【テ】アマノ　ひきわり豆のトマトカレー,,300,209,30
18881100,【テ】アマノ　かぼちゃのアーモンドカレー,,300,209,30
18881300,【テ】アマノ　親子丼,,250,174,48
18881400,【テ】アマノ　中華丼,,250,174,48
18881500,【テ】アマノ　牛とじ丼,,250,174,48
18881600,東洋水　あったかごはん２００ｇ,,150,100,20
18882000,【テ】さばみそ煮,,250,162,32
18882100,ブルボ　プチホワイトチョコラングドシャ,,100,63,80
18882200,【テ】いかと里芋の煮,,300,193,32
18882300,【テ】豚と大根の煮物,,300,193,32
18882400,【テ】牛タンシチュー,,300,193,32
18882600,【テ】鶏肉のトマトソース煮,,300,193,32
18882700,東洋水　バリうままめごぼ天うどん,,110,73,12
18882800,東洋水　ミニ和歌山ラーメン,,110,73,12
18883000,ブルボ　プチこんがりピザ,,100,63,80
18883100,ブルボ　プチココナッツビスケット,,100,63,80
18883200,アイリ　おいしいごはん,,150,90,24
18883500,東洋水　ふっくらかしわめし,,150,104,20
18883600,東洋水　赤飯,,150,104,20
18914000,配置用）森のひとしずくPET,,151,68,24
18914200,サンガ　伊賀の天然水炭酸水,,100,60,24
18914300,勝水　郷の恵み天然水,,100,51,24
18914400,ポッカ　グリーンシャワー,,100,60,24
18914500,ポッカ　白桃香るおいしい水,,100,60,24
18914700,ポッカ　炭酸水,,100,60,24
18914800,ポッカ　炭酸水レモン,,100,60,24
18914900,ポッカ　炭酸水グレープフルーツ,,100,60,24
18922700,サンガ　あなたの抹茶入りお茶,,100,51,24
18922800,サンガ　あなたのお茶,,100,51,24
18922900,サンガ　あなたの麦茶,,100,51,24
18923100,サンガ　あなたの烏龍茶,,100,51,24
18923500,三井農　ＷＮアップルＴＢ４袋入,2016/06/30,100,65,100
18923600,三井農　ＷＮミントＴＢ４袋入,2016/06/30,100,65,100
18923700,三井農　ＷＮブルーベリーＴＢ４袋入,2016/06/30,100,65,100
18923800,サンガ　グランティーストレート,,100,60,24
18923900,サンガ　グランティーレモン,,100,60,24
18924000,サンガ　グランティー無糖,,100,60,24
18924200,日本コ　爽健美茶,,150,90,24
18924300,日本コ　綾鷹,,150,90,24
18924400,ポッカ　カフェドクリエアイスティー,,100,60,24
18924500,ポッカ　玉露入りお茶ホット用,,100,60,24
18924600,ポッカ　ほうじ茶,,100,60,24
18924700,ポッカ　にっぽん烏龍,,100,60,24
18924800,伊藤園　おーいお茶,,100,56,24
18924900,ミツウ　緑茶５００ＰＥＴ,,100,60,24
18931600,サンガ　直火無糖珈琲１８５缶,,80,41,30
18931700,サンガ　直火微糖珈琲１８５缶,,80,41,30
18931800,サンガ　まろやか・カフェ・ラテ２８０缶,,100,60,24
18931900,配置用）ドリップカフェスペシャルブレンド,,70,34,10
18932000,配置用）ドリップカフェロイヤルブレンド,,70,34,10
18932400,ポッカ　アロマックスプレミアムＧ１７０缶,,100,60,30
18932500,ドトー　レアル４００ボトル缶,,130,84,24
18932600,ドトー　レアル260ボトル缶,,100,65,24
18932700,ポッカ　アロマックス微糖,,100,60,30
18932800,日本コ　ジョージアエメラルド,,130,78,30
18932900,日本コ　ジョージアヨーロピアン微糖１８５,,130,78,30
18933000,日本コ　ジョージアエメラルドブラック１８,,130,78,30
18942000,チェリ　グレープ,,100,65,24
18942100,サンガ　ポストニックウォーターレモン,,100,60,24
18942200,エーザ　スパークリンググレープ１４０瓶,,100,65,24
18942400,ハウス　Ｃ１０００ビタミンレモン瓶,,100,65,30
18942500,サンガ　ラムネオー２５０缶,,80,41,30
18942700,チェリ　ライフガード３５０缶,,100,60,24
18942800,サンガ　ミラクルエナジーＶ２５０缶,,100,60,30
18943200,ハウス　ウコンの力,,200,121,60
18943300,花王　ヘルシア緑茶,,200,127,24
18943400,花王　ヘルシアウォーターグレープフル,,200,127,24
18943800,サンガ　１００％オレンジジュース１９０缶,,100,51,30
18943900,サンガ　１００％アップルジュース１９０缶,,100,51,30
18944400,ポッカふってふってゼリーグレープ２７５缶,,100,65,24
18944600,マルサ　ひとつ上の豆乳無調整,,100,60,24
18944800,マルサ　ひとつ上の豆乳白桃,,100,60,24
18944900,マルサ　ひとつ上の豆乳紅茶,,100,60,24
18945000,マルサ　豆乳飲料麦芽,,100,51,24
18945100,日本コ　コカコーラ,,150,90,24
18945200,日本コ　アクエリアス,,150,90,24
18945300,ポッカ　スポーツウォーター,,100,60,24
18945400,ポッカ　明治コクがおいしいミルクココア,2016/03/31,100,60,24
18945500,ポッカ　じっくりコトコトつぶ入りとろ～り,,100,60,30
18945600,ポッカ　ぽっかぽかレモン,,100,60,24
18945700,日本コ　朝バナナ,,200,130,6
18945800,日本コ　朝リンゴ,,200,130,6
18945900,日本コ　朝マンゴ,,200,130,6
18946000,マルサ　ひとつ上の豆乳珈琲,,100,60,24
18946100,マルサ　豆乳飲料抹茶,,100,51,24
18946200,日本コ　ファンタグレープ,,150,90,24
18946300,日本コ　ファンタオレンジ,,150,90,24
18946400,エーザ　チョコラBBライト2,,150,91,50
18946500,花王　ヘルシアスパークリングレモン,,200,127,24
18946600,ポッカ　不二家レモンスカッシュ,,100,60,24
18946700,ポッカ　パワースカッシュ,,100,56,24
18946800,ポッカ　ビタエネＣ,,100,56,24
18947000,ハウス　メガシャキ,,250,151,30
18947100,日本コ　コカコーラゼロ,2016/12/29,150,90,24
18947200,日本コ　コカコーラ１６０,,100,60,30
18947300,日本コ　ファンタグレープ１６０,,100,60,30
18947400,日本コ　ファンタオレンジ１６０,,100,60,30
18947500,日本コ　リアルゴールド１６０,,100,60,30
18947600,伊藤園　充実野菜100,,100,65,24
18947700,伊藤園　朝のYoo,,100,65,24
18947800,伊藤園　理想のトマト,,100,65,24
18947900,伊藤園　一日分の野菜,,100,65,24
18948000,南日本　スコール250缶,,100,51,30
18952200,配置用）タマゴスープ,,86,54,10
18952300,配置用）なすのみそ汁,,102,64,10
18952400,配置用）もずくスープ,,102,64,10
18952600,東洋水　焼きそば名人ソース焼きそば,,150,96,12
18953600,ブルボ　スローバーチョコレート,,100,69,108
18953700,ブルボ　スローバーチョコバナナ,,100,69,108
18953800,東洋水　麺づくり鶏ガラ醤油,,200,132,12
18953900,東洋水　赤いきつねうどん,,200,132,12
18954000,東洋水　ワンタン醤油,,110,76,12
18954100,東洋水　ミニまるコーンみそ,,110,76,12
18954600,ポッカ　こんがりパンコーンポタージュ,,150,104,24
18954700,ポッカ　こんがりパンクラムチャウダー,,150,104,24
18954800,亀田製　ハッピーターン,,100,69,40
18954900,亀田製　カレーせんミニ,,100,69,40
18955000,湖池屋　ドンタコスチリタコス,,100,69,12
18955100,湖池屋　ドンタコス焼きとうもろこし,,100,69,12
18955700,ブルボ　プチポテトコンソメ,,100,69,80
18955800,ブルボ　プチチョコチップ,,100,69,80
18955900,ブルボ　プチチョコラングドシャ,,100,69,80
18956000,ブルボ　プチえび,,100,69,80
18956300,亀田製　亀田の柿の種,,100,69,60
