コード,商品名,商品略称,適用開始日,販売終了日,凍結日,標準単価,店舗単価,入数,資格コード,資格,メーカーコード,メーカー,種別コード,種別名
18870100,亀田製　サラダうす焼,亀田製　サラダうす焼,2017/01/23 0:00:00,,,100,69,40,,,,,,
18870200,亀田製　えびうす焼,亀田製　えびうす焼,2017/01/23 0:00:00,,,100,69,40,,,,,,
18870300,亀田製　揚一番,亀田製　揚一番,2017/01/23 0:00:00,,,100,69,40,,,,,,
18870400,亀田製　ソフトサラダミニ,亀田製　ソフトサラダミニ,2017/01/23 0:00:00,,,100,69,40,,,,,,
18870500,亀田製　海苔巻バラエティー,亀田製　海苔巻バラエティー,2017/01/23 0:00:00,,,100,69,40,,,,,,
18870600,亀田製　切りもち揚,亀田製　切りもち揚,2017/01/23 0:00:00,,,100,69,40,,,,,,
18870700,亀田製　亀田の柿の種梅しそ,亀田製　亀田の柿の種梅しそ,2017/01/23 0:00:00,,,100,69,40,,,,,,
18883200,アイリ　おいしいごはん,アイリ　おいしいごはん,2017/01/23 0:00:00,,,150,90,24,082,資格,,,,
18947600,伊藤園　充実野菜100,伊藤園　充実野菜100,2017/01/23 0:00:00,,,100,65,24,082,資格,,,,
18947700,伊藤園　朝のYoo,伊藤園　朝のYoo,2017/01/23 0:00:00,,,100,65,24,082,資格,,,,
18947800,伊藤園　理想のトマト,伊藤園　理想のトマト,2017/01/23 0:00:00,,,100,65,24,082,資格,,,,
18967400,アイリ　美フィットマスク,アイリ　美フィットマスク,2017/01/23 0:00:00,,,200,100,100,082,資格,,,,
18959800,マルサ　赤だしみそ汁,マルサ　赤だしみそ汁,2017/01/05 0:00:00,,,100,69,48,,,,,,
18959900,マルサ　あわせみそ汁,マルサ　あわせみそ汁,2017/01/05 0:00:00,,,100,69,48,,,,,,
18972600,ホット用ショーケース,ホット用ショーケース,2016/10/24 0:00:00,,,0,0,1,,,,,,
18959600,ブルボ　アルフォート,ブルボ　アルフォート,2016/10/03 0:00:00,,,100,70,120,,,,,,
18959700,ブルボ　アルフォート北海道小豆,ブルボ　アルフォート北海道小豆,2016/10/03 0:00:00,,,100,70,120,,,,,,
18883500,東洋水　ふっくらかしわめし,東洋水　ふっくらかしわめし,2016/10/03 0:00:00,,,150,104,20,089,,,,,
18883600,東洋水　赤飯,東洋水　赤飯,2016/10/03 0:00:00,,,150,104,20,,,,,,
18924900,ミツウ　緑茶５００ＰＥＴ,ミツウ　緑茶５００ＰＥＴ,2016/10/03 0:00:00,,,100,60,24,,,,,,
18914700,ポッカ　炭酸水,ポッカ　炭酸水,2016/10/03 0:00:00,,,100,60,24,,,,,,
18914800,ポッカ　炭酸水レモン,ポッカ　炭酸水レモン,2016/10/03 0:00:00,,,100,60,24,,,,,,
18914900,ポッカ　炭酸水グレープフルーツ,ポッカ　炭酸水グレープフルーツ,2016/10/03 0:00:00,,,100,60,24,,,,,,
18882100,ブルボ　プチホワイトチョコラングドシャ,ブルボ　プチホワイトチョコラングドシャ,2016/10/03 0:00:00,,,100,63,80,,,,,,
18882700,東洋水　バリうままめごぼ天うどん,東洋水　バリうままめごぼ天うどん,2016/10/03 0:00:00,,,110,73,12,,,,,,
18882800,東洋水　ミニ和歌山ラーメン,東洋水　ミニ和歌山ラーメン,2016/10/03 0:00:00,,,110,73,12,,,,,,
18883000,ブルボ　プチこんがりピザ,ブルボ　プチこんがりピザ,2016/10/03 0:00:00,,,100,63,80,,,,,,
18883100,ブルボ　プチココナッツビスケット,ブルボ　プチココナッツビスケット,2016/10/03 0:00:00,,,100,63,80,,,,,,
18924800,伊藤園　おーいお茶,伊藤園　おーいお茶,2016/09/12 0:00:00,,,100,56,24,082,資格,,,,
18947900,伊藤園　一日分の野菜,伊藤園　一日分の野菜,2016/09/12 0:00:00,,,100,65,24,082,資格,,,,
18948000,南日本　スコール250缶,南日本　スコール250缶,2016/09/12 0:00:00,,,100,51,30,084,,,,,
18882200,【テ】いかと里芋の煮,【テ】いかと里芋の煮,2016/08/22 0:00:00,,,300,193,32,088,８８８,,,,
18882300,【テ】豚と大根の煮物,【テ】豚と大根の煮物,2016/08/22 0:00:00,,,300,193,32,088,８８８,,,,
18882400,【テ】牛タンシチュー,【テ】牛タンシチュー,2016/08/22 0:00:00,,,300,193,32,088,８８８,,,,
18882600,【テ】鶏肉のトマトソース煮,【テ】鶏肉のトマトソース煮,2016/08/22 0:00:00,,,300,193,32,088,８８８,,,,
18882000,【テ】さばみそ煮,【テ】さばみそ煮,2016/08/22 0:00:00,,,250,162,32,088,８８８,,,,
18914500,ポッカ　白桃香るおいしい水,ポッカ　白桃香るおいしい水,2016/07/11 0:00:00,,,100,60,24,,,,,,
18932900,日本コ　ジョージアヨーロピアン微糖１８５,日本コ　ジョージアヨーロピアン微糖１８５,2016/07/11 0:00:00,,,130,78,30,,,,,,
18933000,日本コ　ジョージアエメラルドブラック１８,日本コ　ジョージアエメラルドブラック１８,2016/07/11 0:00:00,,,130,78,30,,,,,,
18946600,ポッカ　不二家レモンスカッシュ,ポッカ　不二家レモンスカッシュ,2016/07/11 0:00:00,,,100,60,24,,,,,,
18946700,ポッカ　パワースカッシュ,ポッカ　パワースカッシュ,2016/07/11 0:00:00,,,100,56,24,,,,,,
18946800,ポッカ　ビタエネＣ,ポッカ　ビタエネＣ,2016/07/11 0:00:00,,,100,56,24,,,,,,
18947000,ハウス　メガシャキ,ハウス　メガシャキ,2016/07/11 0:00:00,,,250,151,30,,,,,,
18947100,日本コ　コカコーラゼロ,日本コ　コカコーラゼロ,2016/07/11 0:00:00,2016/12/29,,150,90,24,,,,,,
18947200,日本コ　コカコーラ１６０,日本コ　コカコーラ１６０,2016/07/11 0:00:00,,,100,60,30,,,,,,
18947300,日本コ　ファンタグレープ１６０,日本コ　ファンタグレープ１６０,2016/07/11 0:00:00,,,100,60,30,,,,,,
18947400,日本コ　ファンタオレンジ１６０,日本コ　ファンタオレンジ１６０,2016/07/11 0:00:00,,,100,60,30,,,,,,
