商品コード,商品名,略称,標準単価,店舗単価,入数,適用開始日,販売終了日,凍結日,研修資格コード,研修資格,メーカーコード,メーカー,種別コード,種別
18947600,伊藤園　充実野菜100,伊藤園　充実野菜100,100,65,24,2017/01/23,,,082,資格,,,,
18947700,伊藤園　朝のYoo,伊藤園　朝のYoo,100,65,24,2017/01/23,,,082,資格,,,,
18947800,伊藤園　理想のトマト,伊藤園　理想のトマト,100,65,24,2017/01/23,,,082,資格,,,,
18967400,アイリ　美フィットマスク,アイリ　美フィットマスク,200,100,100,2017/01/23,,,082,資格,,,,
18959800,マルサ　赤だしみそ汁,マルサ　赤だしみそ汁,100,69,48,2017/01/05,,,,,,,,
18959900,マルサ　あわせみそ汁,マルサ　あわせみそ汁,100,69,48,2017/01/05,,,,,,,,
18972600,ホット用ショーケース,ホット用ショーケース,0,0,1,2016/10/24,,,,,,,,
18959600,ブルボ　アルフォート,ブルボ　アルフォート,100,70,120,2016/10/03,,,,,,,,
18959700,ブルボ　アルフォート北海道小豆,ブルボ　アルフォート北海道小豆,100,70,120,2016/10/03,,,,,,,,
18882100,ブルボ　プチホワイトチョコラングドシャ,ブルボ　プチホワイトチョコラングドシャ,100,63,80,2016/10/03,,,,,,,,
18882700,東洋水　バリうままめごぼ天うどん,東洋水　バリうままめごぼ天うどん,110,73,12,2016/10/03,,,,,,,,
18882800,東洋水　ミニ和歌山ラーメン,東洋水　ミニ和歌山ラーメン,110,73,12,2016/10/03,,,,,,,,
18883000,ブルボ　プチこんがりピザ,ブルボ　プチこんがりピザ,100,63,80,2016/10/03,,,,,,,,
18883100,ブルボ　プチココナッツビスケット,ブルボ　プチココナッツビスケット,100,63,80,2016/10/03,,,,,,,,
18914700,ポッカ　炭酸水,ポッカ　炭酸水,100,60,24,2016/10/03,,,,,,,,
18914800,ポッカ　炭酸水レモン,ポッカ　炭酸水レモン,100,60,24,2016/10/03,,,,,,,,
18914900,ポッカ　炭酸水グレープフルーツ,ポッカ　炭酸水グレープフルーツ,100,60,24,2016/10/03,,,,,,,,
18883500,東洋水　ふっくらかしわめし,東洋水　ふっくらかしわめし,150,104,20,2016/10/03,,,089,,,,,
18883600,東洋水　赤飯,東洋水　赤飯,150,104,20,2016/10/03,,,,,,,,
18924900,ミツウ　緑茶５００ＰＥＴ,ミツウ　緑茶５００ＰＥＴ,100,60,24,2016/10/03,,,,,,,,
18924800,伊藤園　おーいお茶,伊藤園　おーいお茶,100,56,24,2016/09/12,,,082,資格,,,,
18947900,伊藤園　一日分の野菜,伊藤園　一日分の野菜,100,65,24,2016/09/12,,,082,資格,,,,
18948000,南日本　スコール250缶,南日本　スコール250缶,100,51,30,2016/09/12,,,084,,,,,
18882000,【テ】さばみそ煮,【テ】さばみそ煮,250,162,32,2016/08/22,,,088,８８８,,,,
18882200,【テ】いかと里芋の煮,【テ】いかと里芋の煮,300,193,32,2016/08/22,,,088,８８８,,,,
18882300,【テ】豚と大根の煮物,【テ】豚と大根の煮物,300,193,32,2016/08/22,,,088,８８８,,,,
18882400,【テ】牛タンシチュー,【テ】牛タンシチュー,300,193,32,2016/08/22,,,088,８８８,,,,
18882600,【テ】鶏肉のトマトソース煮,【テ】鶏肉のトマトソース煮,300,193,32,2016/08/22,,,088,８８８,,,,
18914500,ポッカ　白桃香るおいしい水,ポッカ　白桃香るおいしい水,100,60,24,2016/07/11,,,,,,,,
18932900,日本コ　ジョージアヨーロピアン微糖１８５缶,日本コ　ジョージアヨーロピアン微糖１８５,130,78,30,2016/07/11,,,,,,,,
18933000,日本コ　ジョージアエメラルドブラック１８５缶,日本コ　ジョージアエメラルドブラック１８,130,78,30,2016/07/11,,,,,,,,
18946600,ポッカ　不二家レモンスカッシュ,ポッカ　不二家レモンスカッシュ,100,60,24,2016/07/11,,,,,,,,
18946700,ポッカ　パワースカッシュ,ポッカ　パワースカッシュ,100,56,24,2016/07/11,,,,,,,,
18946800,ポッカ　ビタエネＣ,ポッカ　ビタエネＣ,100,56,24,2016/07/11,,,,,,,,
18947000,ハウス　メガシャキ,ハウス　メガシャキ,250,151,30,2016/07/11,,,,,,,,
18947100,日本コ　コカコーラゼロ,日本コ　コカコーラゼロ,150,90,24,2016/07/11,2016/12/29,,,,,,,
18947200,日本コ　コカコーラ１６０,日本コ　コカコーラ１６０,100,60,30,2016/07/11,,,,,,,,
18947300,日本コ　ファンタグレープ１６０,日本コ　ファンタグレープ１６０,100,60,30,2016/07/11,,,,,,,,
18947400,日本コ　ファンタオレンジ１６０,日本コ　ファンタオレンジ１６０,100,60,30,2016/07/11,,,,,,,,
18947500,日本コ　リアルゴールド１６０,日本コ　リアルゴールド１６０,100,60,30,2016/07/11,,,,,,,,
18952600,東洋水　焼きそば名人ソース焼きそば,東洋水　焼きそば名人ソース焼きそば,150,96,12,2016/07/11,,,,,,,,
18958200,東洋水　焼きそば名人塩焼きそば,東洋水　焼きそば名人塩焼きそば,150,96,12,2016/07/11,,,,,,,,
18880400,【テ】小鉢デリ　とろとろ牛すじ煮込み,【テ】小鉢デリ　とろとろ牛すじ煮込み,200,138,30,2016/06/06,,,088,８８８,,,,
18880600,東洋水　五目ピラフ,東洋水　五目ピラフ,150,104,20,2016/06/06,,,,,,,,
18880700,東洋水　ふっくらとり釜めし,東洋水　ふっくらとり釜めし,150,104,20,2016/06/06,,,085,,,,,
18880900,【テ】アマノ　たっぷり野菜と鶏肉のカレー,【テ】アマノ　たっぷり野菜と鶏肉のカレー,300,209,30,2016/06/06,,,088,８８８,,,,
18881000,【テ】アマノ　ひきわり豆のトマトカレー,【テ】アマノ　ひきわり豆のトマトカレー,300,209,30,2016/06/06,,,088,８８８,,,,
18881100,【テ】アマノ　かぼちゃのアーモンドカレー,【テ】アマノ　かぼちゃのアーモンドカレー,300,209,30,2016/06/06,,,088,８８８,,,,
18881300,【テ】アマノ　親子丼,【テ】アマノ　親子丼,250,174,48,2016/06/06,,,088,８８８,,,,
18881400,【テ】アマノ　中華丼,【テ】アマノ　中華丼,250,174,48,2016/06/06,,,088,８８８,,,,
18881500,【テ】アマノ　牛とじ丼,【テ】アマノ　牛とじ丼,250,174,48,2016/06/06,,,088,８８８,,,,
18881600,東洋水　あったかごはん２００ｇ,東洋水　あったかごはん２００ｇ,150,100,20,2016/06/06,,,,,,,,
18880000,【テ】小鉢デリ　穂先たけのことふきの土佐煮,【テ】小鉢デリ　穂先たけのことふきの土佐,200,128,30,2016/06/06,,,088,８８８,,,,
18880100,【テ】小鉢デリ　ゴロっと野菜の塩糀煮,【テ】小鉢デリ　ゴロっと野菜の塩糀煮,200,128,30,2016/06/06,,,088,８８８,,,,
18880200,【テ】小鉢デリ　十目ひじき煮,【テ】小鉢デリ　十目ひじき煮,200,128,30,2016/06/06,,,088,８８８,,,,
05810000,配置用）ダスキンUVケアミルク,配置用）ダスキンUVケアミルク,1296,720,12,2016/06/03,,,,,,,,
18946500,花王　ヘルシアスパークリングレモン,花王　ヘルシアスパークリングレモン,200,127,24,2016/05/16,,,,,,,,
18959400,ブルボ　スローバー濃厚ココナッツミルク,ブルボ　スローバー濃厚ココナッツミルク,100,69,108,2016/05/16,,,,,,,,
18932700,ポッカ　アロマックス微糖,ポッカ　アロマックス微糖,100,60,30,2016/03/01,,,,,,,,
18932800,日本コ　ジョージアエメラルド,日本コ　ジョージアエメラルド,130,78,30,2016/03/01,,,,,,,,
18983200,鍵付き代金箱,鍵付き代金箱,0,900,10,2016/03/01,,,082,資格,,,,
18924700,ポッカ　にっぽん烏龍,ポッカ　にっぽん烏龍,100,60,24,2016/03/01,,,,,,,,
18945700,日本コ　朝バナナ,日本コ　朝バナナ,200,130,6,2016/03/01,,,,,,,,
18945800,日本コ　朝リンゴ,日本コ　朝リンゴ,200,130,6,2016/03/01,,,,,,,,
18945900,日本コ　朝マンゴ,日本コ　朝マンゴ,200,130,6,2016/03/01,,,,,,,,
18946000,マルサ　ひとつ上の豆乳珈琲,マルサ　ひとつ上の豆乳珈琲,100,60,24,2016/03/01,,,,,,,,
18946100,マルサ　豆乳飲料抹茶,マルサ　豆乳飲料抹茶,100,51,24,2016/03/01,,,,,,,,
18946200,日本コ　ファンタグレープ,日本コ　ファンタグレープ,150,90,24,2016/03/01,,,,,,,,
18946300,日本コ　ファンタオレンジ,日本コ　ファンタオレンジ,150,90,24,2016/03/01,,,,,,,,
18946400,エーザ　チョコラBBライト2,エーザ　チョコラBBライト2,150,91,50,2016/03/01,,,,,,,,
18942000,チェリ　グレープ,チェリ　グレープ,100,65,24,2015/06/01,,,082,資格,,,,
18942100,サンガ　ポストニックウォーターレモン,サンガ　ポストニックウォーターレモン,100,60,24,2015/06/01,,,,,,,,
18942200,エーザ　スパークリンググレープ１４０瓶,エーザ　スパークリンググレープ１４０瓶,100,65,24,2015/06/01,,,,,,,,
18942400,ハウス　Ｃ１０００ビタミンレモン瓶,ハウス　Ｃ１０００ビタミンレモン瓶,100,65,30,2015/06/01,,,,,,,,
18942500,サンガ　ラムネオー２５０缶,サンガ　ラムネオー２５０缶,80,41,30,2015/06/01,,,,,,,,
18942700,チェリ　ライフガード３５０缶,チェリ　ライフガード３５０缶,100,60,24,2015/06/01,,,082,資格,,,,
18942800,サンガ　ミラクルエナジーＶ２５０缶,サンガ　ミラクルエナジーＶ２５０缶,100,60,30,2015/06/01,,,,,,,,
18943200,ハウス　ウコンの力,ハウス　ウコンの力,200,121,60,2015/06/01,,,,,,,,
18943300,花王　ヘルシア緑茶,花王　ヘルシア緑茶,200,127,24,2015/06/01,,,,,,,,
18943400,花王　ヘルシアウォーターグレープフル,花王　ヘルシアウォーターグレープフル,200,127,24,2015/06/01,,,,,,,,
18943800,サンガ　１００％オレンジジュース１９０缶,サンガ　１００％オレンジジュース１９０缶,100,51,30,2015/06/01,,,,,,,,
18943900,サンガ　１００％アップルジュース１９０缶,サンガ　１００％アップルジュース１９０缶,100,51,30,2015/06/01,,,,,,,,
