商品コード,商品名,略称,標準単価,店舗単価,入数,適用開始日,販売終了日,凍結日,研修資格コード,研修資格,メーカーコード,メーカー,種別コード,種別,軽減税率区分,軽減税率区分名
18877100,ロッテ　乳酸菌ショコラ,ロッテ　乳酸菌ショコラ,300,208,72,2018/10/12,,,,,030,,2,食品,,
18873700,ロッテ　チョコパイ,ロッテ　チョコパイ,100,65,120,2018/10/01,,,,,030,,2,食品,,
18875700,ブルボ　濃厚チョコブラウニーリッチミルク,ブルボ　濃厚チョコブラウニーリッチミルク,100,69,108,2018/10/01,,,,,022,,2,食品,,
18875800,ブルボ　ショコラミルフィーユバー,ブルボ　ショコラミルフィーユバー,100,69,108,2018/10/01,,,,,022,,2,食品,,
18875900,ブルボ　味ごのみ,ブルボ　味ごのみ,100,69,120,2018/10/01,,,,,022,,2,食品,,
18876000,ブルボ　スローバーさつまいも＆栗,ブルボ　スローバーさつまいも＆栗,100,64,108,2018/10/01,,,,,022,,2,食品,,
18876100,ロッテ　コアラのマーチ　いちご,ロッテ　コアラのマーチ　いちご,100,70,80,2018/10/01,,,,,030,,2,食品,,
18876200,ロッテ　トッポ,ロッテ　トッポ,150,104,120,2018/10/01,,,,,030,,2,食品,,
18876300,ロッテ　パイの実,ロッテ　パイの実,150,104,60,2018/10/01,,,,,030,,2,食品,,
18876400,ロッテ　ガーナトリュフプラリネショコラ,ロッテ　ガーナトリュフプラリネショコラ,200,139,80,2018/10/01,2018/12/17,2019/09/18,,,030,,2,食品,,
18876500,ロッテ　ハーシーバー,ロッテ　ハーシーバー,100,69,144,2018/10/01,,,,,030,,2,食品,,
18876600,ロッテ　ハーシーバーレーズン,ロッテ　ハーシーバーレーズン,100,69,144,2018/10/01,2018/12/17,2019/12/18,,,030,,2,食品,,
18876700,ロッテ　シャルロッテ　生チョコレート,ロッテ　シャルロッテ　生チョコレート,300,208,72,2018/10/01,,,,,030,,2,食品,,
18876900,ロッテ　シャルロッテ香ばしキャラメルショコラ,ロッテ　シャルロッテ香ばしキャラメルショ,200,139,80,2018/10/01,,,,,030,,2,食品,,
18877000,ロッテ　キスチョコ,ロッテ　キスチョコ,120,84,60,2018/10/01,2018/12/17,2019/12/18,,,030,,2,食品,,
18810400,チェリ　日本のサイダー,チェリ　日本のサイダー,100,65,24,2018/10/01,,,,,016,,1,飲料,,
18872800,ブルボ　しっとりチョコケーキ,ブルボ　しっとりチョコケーキ,100,70,108,2018/10/01,,,,,022,,2,食品,,
18925800,サンガ　あなたのルイボスティ,サンガ　あなたのルイボスティ,100,51,24,2018/10/01,,,,,011,,1,飲料,,
18959700,ブルボ　アルフォートミルクティー,ブルボ　アルフォートミルクティー,100,70,120,2018/10/01,,,,,022,,2,食品,,
18959000,湖池屋　ワンハンドポテチ濃厚ＢＢＱ,湖池屋　ワンハンドポテチ濃厚ＢＢＱ,100,65,24,2018/10/01,,,082,資格,010,,2,食品,,
18810000,大塚製　ポカリスエット300mlPET,大塚製　ポカリスエット300mlPET,100,65,24,2018/06/11,,,,,006,,1,飲料,,
18810100,大塚製　ポカリスエットイオンウォーター300mlPET,大塚製　ポカリスエットイオンウォーター3,100,65,24,2018/06/11,,,,,006,,1,飲料,,
18810200,マルサ　ことりっぷ豆乳黒蜜きなこ,マルサ　ことりっぷ豆乳黒蜜きなこ,100,55,24,2018/05/07,,,,,025,,1,飲料,,
18810300,マルサ　ことりっぷ豆乳瀬戸内レモン,マルサ　ことりっぷ豆乳瀬戸内レモン,100,55,24,2018/05/07,,,,,025,,1,飲料,,
18875000,ブルボ　プチトマトプレッツェル,ブルボ　プチトマトプレッツェル,100,63,80,2018/05/07,,,,,022,,2,食品,,
18875100,ブルボ　プチ黒ココア,ブルボ　プチ黒ココア,100,63,80,2018/05/07,,,,,022,,2,食品,,
18875200,ロッテ　小梅ソフトキャンディ,ロッテ　小梅ソフトキャンディ,100,69,120,2018/05/07,,,,,030,,2,食品,,
18875300,ロッテ　くちどけ塩キャラメル,ロッテ　くちどけ塩キャラメル,100,69,120,2018/05/07,,,,,030,,2,食品,,
18875400,ロッテ　ハーシーチョコチップクッキー,ロッテ　ハーシーチョコチップクッキー,200,139,30,2018/05/07,,,,,030,,2,食品,,
18875500,湖池屋　スティックポテトチキンラーメン,湖池屋　スティックポテトチキンラーメン,100,65,24,2018/05/07,,,082,資格,010,,2,食品,,
18925500,ポッカ　ロイヤルミルクティ,ポッカ　ロイヤルミルクティ,100,65,24,2018/05/07,,,,,023,,1,飲料,,
18946800,ポッカ　ビタエネＣ,ポッカ　ビタエネＣ,100,56,30,2018/05/07,,,,,023,,1,飲料,,
18959100,ブルボ　チョコあ～んぱん,ブルボ　チョコあ～んぱん,100,70,80,2018/05/07,,,,,022,,2,食品,,
18874900,大塚製 SOYJOYクリスピーバナナ,大塚製 SOYJOYクリスピーバナナ,100,69,48,2018/04/02,,,,,006,,2,食品,,
18874300,東洋水　ホットヌードルNEOはま塩,東洋水　ホットヌードルNEOはま塩,150,89,12,2018/01/09,,,,,017,,2,食品,,
18874500,湖池屋　スティックポテトのり塩,湖池屋　スティックポテトのり塩,100,65,24,2018/01/09,,,082,資格,010,,2,食品,,
18874600,湖池屋　スティックポテトうすしお,湖池屋　スティックポテトうすしお,100,65,24,2018/01/09,,,082,資格,010,,2,食品,,
18874700,湖池屋　スティックカラムーチョ,湖池屋　スティックカラムーチョ,100,65,24,2018/01/09,,,082,資格,010,,2,食品,,
18874800,湖池屋　スティックすっぱムーチョ梅,湖池屋　スティックすっぱムーチョ梅,100,65,24,2018/01/09,,,082,資格,010,,2,食品,,
18949900,大正製　リポビタンD,大正製　リポビタンD,150,97,50,2017/11/13,,,,,013,,1,飲料,,
18873900,ロッテ　チョココ,ロッテ　チョココ,200,139,30,2017/11/01,,,,,030,,2,食品,,
18874000,ロッテ　クランキービスケット,ロッテ　クランキービスケット,200,139,30,2017/11/01,,,,,030,,2,食品,,
18873000,東洋水　黒いまめ豚カレーうどん,東洋水　黒いまめ豚カレーうどん,110,76,12,2017/11/01,,,,,017,,2,食品,,
18873100,ロッテ　コアラのマーチ　チョコ,ロッテ　コアラのマーチ　チョコ,100,70,80,2017/11/01,,,,,030,,2,食品,,
18873200,ロッテ　グリーンガム,ロッテ　グリーンガム,100,69,300,2017/11/01,,,,,030,,2,食品,,
18873300,ロッテ　ブラックブラックガム,ロッテ　ブラックブラックガム,100,69,300,2017/11/01,,,,,030,,2,食品,,
18873400,ロッテ　ACUOタブレット,ロッテ　ACUOタブレット,100,69,120,2017/11/01,,,,,030,,2,食品,,
18873500,ロッテ　小梅グミ,ロッテ　小梅グミ,100,69,80,2017/11/01,,,,,030,,2,食品,,
18873600,ロッテ　のど飴,ロッテ　のど飴,100,69,120,2017/11/01,,,,,030,,2,食品,,
18882900,ブルボ　プチ抹茶,ブルボ　プチ抹茶,100,63,80,2017/10/02,,,,,022,,2,食品,,
18949500,ポッカ　じっくりコトコトオニオンコンソメ,ポッカ　じっくりコトコトオニオンコンソメ,100,60,30,2017/10/02,,,,,023,,1,飲料,,
18953300,湖池屋　スティックポテトコンポタ,湖池屋　スティックポテトコンポタ,100,65,24,2017/10/01,,,082,資格,010,,2,食品,,
18949200,レッド　レッドブル,レッド　レッドブル,200,121,24,2017/09/19,,,,,029,,1,飲料,,
18949300,レッド　レッドブルシュガーフリー,レッド　レッドブルシュガーフリー,200,121,24,2017/09/19,,,,,029,,1,飲料,,
18983400,フォークスプーン（１００本入り）,フォークスプーン（１００本入り）,0,500,1,2017/07/24,,,,,015,,3,その他,,
18883400,大塚食　マンナンごはん,大塚食　マンナンごはん,150,97,24,2017/07/24,,,,,005,,2,食品,,
18883700,大塚食　スパイシーチキンカレー,大塚食　スパイシーチキンカレー,150,97,30,2017/07/24,,,,,005,,2,食品,,
18883800,大塚食　欧風カレー,大塚食　欧風カレー,150,97,30,2017/07/24,,,,,005,,2,食品,,
18883900,大塚食　ハヤシ,大塚食　ハヤシ,150,97,30,2017/07/24,,,,,005,,2,食品,,
18884000,大塚食　クリームシチュー,大塚食　クリームシチュー,150,97,30,2017/07/24,,,,,005,,2,食品,,
18884100,大塚食　親子丼,大塚食　親子丼,150,97,30,2017/07/24,,,,,005,,2,食品,,
18884200,大塚食　中華丼,大塚食　中華丼,150,97,30,2017/07/24,,,,,005,,2,食品,,
18871000,大塚製　カロリーメイトチョコレート2本入り,大塚製　カロリーメイトチョコレート2本入,100,69,60,2017/05/15,,,,,006,,2,食品,,
18871100,大塚製　カロリーメイトフルーツ2本入り,大塚製　カロリーメイトフルーツ2本入り,100,69,60,2017/05/15,,,,,006,,2,食品,,
18871200,大塚製　カロリーメイトチーズ2本入り,大塚製　カロリーメイトチーズ2本入り,100,69,60,2017/05/15,,,,,006,,2,食品,,
18871300,大塚製　カロリーメイトメープル2本入り,大塚製　カロリーメイトメープル2本入り,100,69,60,2017/05/15,,,,,006,,2,食品,,
18871400,大塚製　ソイジョイアーモンド＆チョコレート,大塚製　ソイジョイアーモンド＆チョコレー,100,69,48,2017/05/15,,,,,006,,2,食品,,
18871500,大塚製　ソイジョイストロベリー,大塚製　ソイジョイストロベリー,100,69,48,2017/05/15,,,,,006,,2,食品,,
18871600,大塚製　ソイジョイブルーベリー,大塚製　ソイジョイブルーベリー,100,69,48,2017/05/15,,,,,006,,2,食品,,
18871800,大塚製　SOYJOYクリスピーミックスベリー,大塚製　SOYJOYクリスピーミックスベ,100,69,48,2017/05/15,,,,,006,,2,食品,,
18871900,大塚製　SOYJOYクリスピーホワイトマカダミア,大塚製　SOYJOYクリスピーホワイトマ,100,69,48,2017/05/15,,,,,006,,2,食品,,
18872200,東洋水　麺づくり合わせ味噌,東洋水　麺づくり合わせ味噌,200,132,12,2017/05/15,,,,,017,,2,食品,,
18872300,東洋水　麺づくり鶏だし塩,東洋水　麺づくり鶏だし塩,200,132,12,2017/05/15,,,,,017,,2,食品,,
18872400,東洋水　麺づくり豚骨,東洋水　麺づくり豚骨,200,132,12,2017/05/15,,,,,017,,2,食品,,
18872500,東洋水　麺づくり担々麺,東洋水　麺づくり担々麺,200,132,12,2017/05/15,,,,,017,,2,食品,,
18948500,大塚製　オロナミンC,大塚製　オロナミンC,100,65,50,2017/05/15,,,,,006,,1,飲料,,
18948600,大塚製　ファイブミニ,大塚製　ファイブミニ,100,65,50,2017/05/15,,,,,006,,1,飲料,,
18948700,大塚製　ポカリスエット500ml,大塚製　ポカリスエット500ml,150,90,24,2017/05/15,,,,,006,,1,飲料,,
18948800,ポッカ　レモンの雫,ポッカ　レモンの雫,100,60,24,2017/05/15,,,,,023,,1,飲料,,
