商品コード,商品名,略称,標準単価,店舗単価,入数,適用開始日,販売終了日,凍結日,研修資格コード,研修資格,メーカーコード,メーカー,種別コード,種別,軽減税率区分,軽減税率区分名
18933500,日本コ　クラフトマンカフェラテ,日本コ　クラフトマンカフェラテ,150,97,24,2019/01/07,,,,,002,メーカー名02,1,飲料,1,標準税率
18877100,ロッテ　乳酸菌ショコラ,ロッテ　乳酸菌ショコラ,300,208,72,2018/10/12,,,,,002,メーカー名02,2,食品,1,標準税率
18870500,亀田製　海苔巻バラエティー,亀田製　海苔巻バラエティー,100,69,40,2017/01/23,,,,,002,メーカー名02,2,食品,1,標準税率
18870600,亀田製　切りもち揚,亀田製　切りもち揚,100,69,40,2017/01/23,,,,,002,メーカー名02,2,食品,2,軽減税率
18870700,亀田製　亀田の柿の種梅しそ,亀田製　亀田の柿の種梅しそ,100,69,40,2017/01/23,,,,,002,メーカー名02,2,食品,1,標準税率
18947600,伊藤園　充実野菜100,伊藤園　充実野菜100,100,65,24,2017/01/23,,,082,資格,002,メーカー名02,1,飲料,,
18947800,伊藤園　理想のトマト,伊藤園　理想のトマト,100,65,24,2017/01/23,,,082,資格,002,メーカー名02,1,飲料,,
18947900,伊藤園　一日分の野菜,伊藤園　一日分の野菜,100,65,24,2016/09/12,,,082,資格,002,メーカー名02,1,飲料,,
18924800,伊藤園　おーいお茶,伊藤園　おーいお茶,100,56,24,2016/09/12,,,082,資格,002,メーカー名02,1,飲料,,
18953600,ブルボ　スローバーチョコレート,ブルボ　スローバーチョコレート,100,69,108,2015/06/01,,,,,002,メーカー名02,2,食品,1,標準税率
